"date","active.calories","steps","weight","steps.lag","calorie.lag","dayofyear"
2015-08-10,995.9,18.41,169.985088294037,17.48,480,222
2015-08-11,1126.9,19.59,172.132397200166,18.41,995.9,223
2015-08-12,522.2,10.4,168.866356701183,19.59,1126.9,224
2015-08-13,843.8,18.7,169.849990861612,10.4,522.2,225
2015-08-14,396.3,9.14,170.626657058225,18.7,843.8,226
2015-08-15,423.3,8.69,171.919078407681,9.14,396.3,227
2015-08-16,958.3,13.85,170.392518893274,8.69,423.3,228
2015-08-17,596.8,11.89,171.556808805605,13.85,958.3,229
2015-08-18,1377.5,24.64,168.687063905042,11.89,596.8,230
2015-08-22,1025.1,11.05,171.836823780023,24.64,1377.5,234
2015-08-23,1273.1,17.12,169.715369646312,11.05,1025.1,235
2015-08-24,1275,16.41,170.145261539804,17.12,1273.1,236
2015-08-25,702,7.68,169.328336916588,16.41,1275,237
2015-08-26,1272.9,15.63,170.587988288094,7.68,702,238
2015-08-27,1040,13.32,172.256121562522,15.63,1272.9,239
2015-08-28,597.4,9.29,172.909909649115,13.32,1040,240
2015-08-30,460.1,7.96,169.445745689737,9.29,597.4,242
2015-08-31,529.9,8.87,171.026380217177,7.96,460.1,243
2015-09-01,1217.4,16.93,171.947125604385,8.87,529.9,244
2015-09-02,1042.9,13.98,170.381412051171,16.93,1217.4,245
2015-09-03,580.9,9.73,170.377659317512,13.98,1042.9,246
2015-09-07,410.1,5.02,170.369119587206,9.73,580.9,250
2015-09-08,1110.8,15.19,171.291996732368,5.02,410.1,251
2015-09-09,528.2,9.19,172.112160129525,15.19,1110.8,252
2015-09-10,522.6,8.6,171.423217434349,9.19,528.2,253
2015-09-11,1224.8,14.94,171.076952885755,8.6,522.6,254
2015-09-12,613,10.55,170.476362387978,14.94,1224.8,255
2015-09-13,990.1,14.11,171.298348685558,10.55,613,256
2015-09-14,911.8,13.07,170.272531012277,14.11,990.1,257
2015-09-15,586.4,10.5,170.565179600698,13.07,911.8,258
2015-09-16,1037.5,13.51,171.963617965536,10.5,586.4,259
2015-09-17,579.4,10.42,171.332086272641,13.51,1037.5,260
2015-09-18,501.9,8.63,171.154358384475,10.42,579.4,261
2015-09-21,1042.3,14.44,170.729342616741,8.63,501.9,264
2015-09-22,941.2,13.53,171.94045305536,14.44,1042.3,265
2015-09-23,804.8,12.26,172.369102864978,13.53,941.2,266
2015-09-24,464.9,9.49,170.189988885402,12.26,804.8,267
2015-09-25,583,9.44,171.140118217566,9.49,464.9,268
2015-09-26,399.2,11.47,171.159369033665,9.44,583,269
2015-09-27,590.1,7.56,170.557917493632,11.47,399.2,270
2015-09-28,855.2,15.59,170.163805911465,7.56,590.1,271
2015-09-29,894,15.75,171.186683376871,15.59,855.2,272
2015-09-30,731.2,12.72,171.871499873055,15.75,894,273
2015-10-01,463.9,9.37,172.720002346531,12.72,731.2,274
2015-10-02,518,9.53,169.361479600537,9.37,463.9,275
2015-10-03,369.3,7.18,170.595965480713,9.53,518,276
2015-10-04,808.9,13.37,171.015047545171,7.18,369.3,277
2015-10-05,824.5,12.3,169.691693785621,13.37,808.9,278
2015-10-06,422.1,8.07,170.63299067155,12.3,824.5,279
2015-10-07,917.5,15.8,170.635145895163,8.07,422.1,280
2015-10-08,531.8,9.89,170.719201739435,15.8,917.5,281
2015-10-09,964.1,18.17,169.282510869046,9.89,531.8,282
2015-10-10,288.5,5.51,171.714638291326,18.17,964.1,283
2015-10-12,847.3,15.05,170.929946082323,5.51,288.5,285
2015-10-13,413.3,8.4,173.113135217101,15.05,847.3,286
2015-10-14,420.6,8.39,172.419675221324,8.4,413.3,287
2015-10-15,532.3,10.04,170.201565199363,8.39,420.6,288
2015-10-16,506.1,10.41,171.785165922038,10.04,532.3,289
2015-10-17,750.6,18.17,171.124975497283,10.41,506.1,290
2015-10-18,364.1,6.89,172.639303874583,18.17,750.6,291
2015-10-19,831.5,13.33,171.836669589828,6.89,364.1,292
2015-10-20,525.2,10.78,171.259452260813,13.33,831.5,293
2015-10-21,487,8.84,172.288049879108,10.78,525.2,294
2015-10-22,777.9,14.6,172.035738201802,8.84,487,295
2015-10-23,505,10.07,171.752289905584,14.6,777.9,296
2015-10-24,778,13.76,173.970875796931,10.07,505,297
2015-10-25,831.3,16.2,171.455977221208,13.76,778,298
2015-10-26,898.1,13.49,171.549254310559,16.2,831.3,299
2015-10-27,568.3,10.78,170.509082779492,13.49,898.1,300
2015-10-28,416.9,6.74,172.049771644128,10.78,568.3,301
2015-10-29,543.6,10.04,173.016233580757,6.74,416.9,302
2015-11-01,739.5,13.49,170.163027611634,10.04,543.6,305
2015-11-02,984.8,15.57,172.021130226146,13.49,739.5,306
2015-11-03,545.5,11.21,171.126625047169,15.57,984.8,307
2015-11-04,779.7,13.26,173.787593110391,11.21,545.5,308
2015-11-05,487.7,9.56,173.741231999753,13.26,779.7,309
2015-11-06,535,10.63,172.755820167663,9.56,487.7,310
2015-11-07,264.6,4.02,173.88893650412,10.63,535,311
2015-11-08,818.7,15.29,171.630861920185,4.02,264.6,312
2015-11-09,892.4,13.98,173.487713087329,15.29,818.7,313
2015-11-10,518.1,10.24,171.991231688965,13.98,892.4,314
2015-11-11,792.2,12.73,172.936682799313,10.24,518.1,315
2015-11-12,617.1,11.4,172.35611158326,12.73,792.2,316
2015-11-13,896.3,15.45,172.417047083718,11.4,617.1,317
2015-11-14,817.9,13.34,173.282088136374,15.45,896.3,318
2015-11-15,237.3,3.98,171.472834879382,13.34,817.9,319
2015-11-16,819.9,14.15,172.566724866915,3.98,237.3,320
2015-11-17,527.9,11.23,173.029930248554,14.15,819.9,321
2015-11-18,801.2,14.95,172.497039182915,11.23,527.9,322
2015-11-19,524.7,9.26,173.047050133273,14.95,801.2,323
2015-11-21,274,4.47,172.708178699098,9.26,524.7,325
2015-11-22,851.8,12.43,174.688188184335,4.47,274,326
2015-11-23,541.3,10.19,173.827117856508,12.43,851.8,327
2015-11-24,590.3,10.42,175,10.19,541.3,328
2015-12-01,447.3,8.14,172.673340485139,10.42,590.3,335
2015-12-02,821.1,14.07,174.32857120648,8.14,447.3,336
2015-12-03,449.8,8.88,175,14.07,821.1,337
2015-12-04,578.4,10.01,173.907660483,8.88,449.8,338
2015-12-06,426.9,9.23,172.617281397849,10.01,578.4,340
2015-12-07,711,11.16,172.741322459728,9.23,426.9,341
2015-12-08,474.1,8.54,173.759819062405,11.16,711,342
2015-12-09,916.6,15.37,175,8.54,474.1,343
2015-12-11,258.7,5.36,174.690201575031,15.37,916.6,345
2015-12-12,728.1,14.67,171.850222402356,5.36,258.7,346
2015-12-13,223,3.47,173.337326506633,14.67,728.1,347
2015-12-14,773.5,13.23,174.078014269687,3.47,223,348
2015-12-15,1125.6,18.67,172.678627631164,13.23,773.5,349
2015-12-16,469.6,9.39,174.88128138228,18.67,1125.6,350
2015-12-17,860.9,14.95,171.775707121924,9.39,469.6,351
2015-12-18,470.7,8.16,174.430923466424,14.95,860.9,352
2015-12-19,291.8,5.9,173.947302932477,8.16,470.7,353
2015-12-20,840.4,16.06,173.89855255916,5.9,291.8,354
2015-12-21,986.9,18.87,174.15756102944,16.06,840.4,355
2015-12-22,285.1,5.75,174.807795367665,18.87,986.9,356
2015-12-23,968.2,17.1,174.94141946591,5.75,285.1,357
2015-12-24,470.4,10.93,174.371881745898,17.1,968.2,358
2015-12-26,314,5.19,172.778220896362,10.93,470.4,360
2015-12-28,429.5,8.94,173.370828873943,5.19,314,362
2015-12-29,376.6,4.3,173.394294186996,8.94,429.5,363
2015-12-30,191.8,3.07,175,4.3,376.6,364
2016-01-12,1130,21.11,174.146101662903,3.07,191.8,12
2016-01-13,854.1,13.13,174.608201659022,21.11,1130,13
2016-01-14,884.9,15.51,172.728706181427,13.13,854.1,14
2016-01-15,830.9,13.91,173.701454590414,15.51,884.9,15
2016-01-16,448.1,11.51,174.749203708959,13.91,830.9,16
2016-01-17,915.8,16.23,173.958434994989,11.51,448.1,17
2016-01-18,945.5,15.3,173.971934758778,16.23,915.8,18
2016-01-19,1033.3,15.94,173.965619143394,15.3,945.5,19
2016-01-21,492.4,9.49,175,15.94,1033.3,21
2016-01-22,809,14.04,173.276414789949,9.49,492.4,22
2016-01-23,850.4,13.46,174.519248995376,14.04,809,23
2016-01-27,314.5,4.95,174.551967967332,13.46,850.4,27
2016-01-29,474.6,8.26,172.370974834328,4.95,314.5,29
2016-01-30,274.4,3.85,173.635464141619,8.26,474.6,30
2016-01-31,786.2,12.17,173.457196403567,3.85,274.4,31
2016-02-01,673.3,12.99,174.452071850858,12.17,786.2,32
2016-02-02,258.7,4.36,174.292519285059,12.99,673.3,33
2016-02-04,627,11.81,173.285815454094,4.36,258.7,35
2016-02-05,245,2.45,173.379995290826,11.81,627,36
2016-02-06,827,13.56,172.479846455057,2.45,245,37
2016-02-07,472.1,9.58,172.958190175485,13.56,827,38
2016-02-08,903.4,14.7,172.083720448971,9.58,472.1,39
2016-02-09,843.4,14.05,172.102888352599,14.7,903.4,40
2016-02-10,983.3,16.93,171.806246396913,14.05,843.4,41
2016-02-11,868,12.92,173.820782671106,16.93,983.3,42
2016-02-12,462.6,6.42,174.057362490933,12.92,868,43
2016-02-13,297.2,4.86,172.487561808736,6.42,462.6,44
2016-02-14,264.1,5.42,171.729945476829,4.86,297.2,45
2016-02-15,891.7,13.08,172.72970800018,5.42,264.1,46
2016-02-16,956.4,14.6,175,13.08,891.7,47
2016-02-17,900,14.01,174.777286148795,14.6,956.4,48
2016-02-18,487.9,8.31,170.975789830289,14.01,900,49
2016-02-19,577.8,8.4,172.298600943803,8.31,487.9,50
2016-02-21,853.5,14.83,174.10952368976,8.4,577.8,52
2016-02-22,1018.1,16.63,172.498817265747,14.83,853.5,53
2016-02-23,859.8,14.63,174.09559301339,16.63,1018.1,54
2016-02-24,535.9,8.5,172.126013030409,14.63,859.8,55
2016-02-25,908.1,14.33,173.026303244238,8.5,535.9,56
2016-02-26,858.9,14.65,172.607577700125,14.33,908.1,57
2016-02-27,370.1,7.45,175,14.65,858.9,58
2016-02-28,464.1,7.56,173.228728040595,7.45,370.1,59
2016-02-29,544.7,9.89,171.064656277003,7.56,464.1,60
2016-03-01,908.7,16.55,171.6305342934,9.89,544.7,61
2016-03-02,865.4,13.16,172.568171107478,16.55,908.7,62
2016-03-03,882.8,15.08,170.260755780417,13.16,865.4,63
2016-03-04,930.7,15.02,170.321467330323,15.08,882.8,64
2016-03-05,387.9,8.66,170.968475761068,15.02,930.7,65
2016-03-06,255.6,3.57,171.70709009695,8.66,387.9,66
2016-03-07,984,16.07,173.258943432175,3.57,255.6,67
2016-03-08,515.5,8.64,171.711165542673,16.07,984,68
2016-03-09,832.8,14.14,172.113365891013,8.64,515.5,69
2016-03-10,869.7,13.61,171.85230057758,14.14,832.8,70
2016-03-11,832.8,14.57,171.177892946135,13.61,869.7,71
2016-03-12,438.2,9.21,173.211850111686,14.57,832.8,72
2016-03-21,930.1,16.65,170.465355830494,9.21,438.2,81
2016-03-22,876.5,14.41,171.302960739288,16.65,930.1,82
2016-03-23,854.7,14.71,171.153391660429,14.41,876.5,83
2016-03-24,895.8,14.46,172.0034740877,14.71,854.7,84
2016-03-25,499.3,9.02,173.049006001556,14.46,895.8,85
2016-03-26,588.4,11.77,171.926312180461,9.02,499.3,86
2016-03-27,767.5,14,172.765897273915,11.77,588.4,87
2016-03-29,999.7,18.04,172.089574811732,14,767.5,89
2016-03-30,1069.4,19.1,170.673820409391,18.04,999.7,90
2016-03-31,646.5,11.36,171.352176189245,19.1,1069.4,91
2016-04-01,1003.4,18.48,172.61923917892,11.36,646.5,92
2016-04-02,673.2,13.39,169.654722204085,18.48,1003.4,93
2016-04-04,957.3,16.59,171.487315228056,13.39,673.2,95
2016-04-05,911.7,17.07,170.979482905041,16.59,957.3,96
2016-04-06,976.8,16,171.988085981207,17.07,911.7,97
2016-04-13,874.8,15.03,171.687077815563,16,976.8,104
2016-04-14,846.6,14.84,171.214395494291,15.03,874.8,105
2016-04-15,869.5,15.02,172.382884301692,14.84,846.6,106
2016-04-16,432.8,6.63,169.341610722255,15.02,869.5,107
2016-04-17,642.1,15.64,171.755153662821,6.63,432.8,108
2016-04-18,963.8,16.85,169.242535902336,15.64,642.1,109
2016-04-19,855.1,15.72,171.387716257119,16.85,963.8,110
2016-04-20,569.3,6.18,170.867874609756,15.72,855.1,111
2016-04-25,584.1,11.57,171.641159198702,6.18,569.3,116
2016-04-26,874.2,13.62,170.732743672112,11.57,584.1,117
2016-04-27,844.1,13.95,169.065565504103,13.62,874.2,118
2016-04-28,387.7,6.01,168.607076421914,13.95,844.1,119
2016-05-01,282.9,5.04,171.09957738988,6.01,387.7,122
2016-05-02,627.1,11.79,170.467062508666,5.04,282.9,123
2016-05-03,822,14.89,169.951556198298,11.79,627.1,124
2016-05-04,850.5,14.45,170.193941861032,14.89,822,125
2016-05-05,1057.7,20.05,169.816331226762,14.45,850.5,126
2016-05-06,627.5,12.08,170.313442058709,20.05,1057.7,127
2016-05-07,348.7,5.84,169.522813900665,12.08,627.5,128
2016-05-08,458.1,10.62,168.454746197017,5.84,348.7,129
2016-05-09,560.1,10.39,170.202092821009,10.62,458.1,130
2016-05-10,851.9,14.93,171.451205687439,10.39,560.1,131
2016-05-11,442,8.36,172.267796820944,14.93,851.9,132
2016-05-12,1034.3,19.84,170.377911131217,8.36,442,133
2016-05-13,828.8,16.99,170.279772925114,19.84,1034.3,134
2016-05-14,473.3,11.57,171.308863309575,16.99,828.8,135
2016-05-15,520.2,10.32,170.385190457342,11.57,473.3,136
2016-05-16,654.8,11.93,169.882759688294,10.32,520.2,137
2016-05-17,658.6,9.56,168.566699742218,11.93,654.8,138
2016-05-18,916.6,16.52,169.026940542083,9.56,658.6,139
2016-05-19,924.8,17.78,170.683884042187,16.52,916.6,140
2016-05-20,1065.8,19.14,168.80516119454,17.78,924.8,141
2016-05-23,930.2,16.98,171.276792892767,19.14,1065.8,144
2016-05-24,589.9,11.39,168.870345591156,16.98,930.2,145
2016-05-25,707.5,11.44,170.011946424435,11.39,589.9,146
2016-05-28,446.5,10.43,170.17120504495,11.44,707.5,149
2016-05-29,589,13.79,170.150653095932,10.43,446.5,150
2016-05-30,738.6,13.28,170.305672223467,13.79,589,151
2016-05-31,1022.8,18.3,170.742778348515,13.28,738.6,152
2016-06-01,718.5,14.41,170.008897339395,18.3,1022.8,153
2016-06-02,920.3,16.77,169.877717014375,14.41,718.5,154
2016-06-03,829.1,15.85,170.278023022602,16.77,920.3,155
2016-06-04,295.6,8.53,169.675796977525,15.85,829.1,156
2016-06-05,296.6,5.69,171.638894873595,8.53,295.6,157
2016-06-06,851.5,15.57,167.923579657199,5.69,296.6,158
2016-06-07,827.8,14.88,171.113474876375,15.57,851.5,159
2016-06-08,488,10.48,169.830931591111,14.88,827.8,160
2016-06-09,998.5,18.13,170.494979421299,10.48,488,161
2016-06-10,433.2,9.86,171.05385708422,18.13,998.5,162
2016-06-11,407.3,9.05,170.895616961677,9.86,433.2,163
2016-06-12,523.3,11.61,169.393672173606,9.05,407.3,164
2016-06-13,815.1,14,171.612709012902,11.61,523.3,165
2016-06-14,1242.9,21.86,168.420409315225,14,815.1,166
2016-06-15,351.1,7.22,170.90232759885,21.86,1242.9,167
2016-06-16,881,17.26,169.522174670737,7.22,351.1,168
2016-06-17,390.7,9.31,168.112058881479,17.26,881,169
2016-06-18,483,12.2,168.159556765004,9.31,390.7,170
2016-06-19,894.4,17.43,170.266796627711,12.2,483,171
2016-06-20,880.7,15.99,172.241699060775,17.43,894.4,172
2016-06-21,636.6,17.13,170.288388261555,15.99,880.7,173
2016-06-22,332.3,5.84,171.142944674431,17.13,636.6,174
2016-06-26,212.3,4.93,170.842422423413,5.84,332.3,178
2016-06-27,351.6,7.21,169.347786673707,4.93,212.3,179
2016-06-28,314.6,7.26,170.955312076246,7.21,351.6,180
2016-06-29,347.7,8.58,170.353551953386,7.26,314.6,181
2016-06-30,293.7,8.18,170.206749414624,8.58,347.7,182
2016-07-01,377.7,9.43,171.00111323431,8.18,293.7,183
2016-07-02,304.7,8.38,170.747602113614,9.43,377.7,184
2016-07-03,286.4,7.07,169.374025651173,8.38,304.7,185
2016-07-04,286.2,6.4,170.396574783704,7.07,286.4,186
2016-07-05,264.9,6.95,169.11023399754,6.4,286.2,187
2016-07-06,429.9,10.44,170.634571459444,6.95,264.9,188
2016-07-07,345.5,9.13,169.572699207783,10.44,429.9,189
2016-07-08,295.2,7.32,170.45949462095,9.13,345.5,190
2016-07-09,342.5,8.03,170.377606851539,7.32,295.2,191
2016-07-10,263.6,6.25,169.74177239024,8.03,342.5,192
2016-07-11,354.1,9.66,170.480524815123,6.25,263.6,193
2016-07-12,426.9,11.46,170.592520984494,9.66,354.1,194
2016-07-13,580.7,12.22,169.790917574114,11.46,426.9,195
2016-07-14,361.9,8.25,171.197613121926,12.22,580.7,196
2016-07-15,251.3,5.52,171.422126613657,8.25,361.9,197
2016-07-16,409.3,10.51,169.371786188464,5.52,251.3,198
2016-07-17,351.3,9.7,169.261062018646,10.51,409.3,199
2016-07-18,336,8.6,170.556923829425,9.7,351.3,200
2016-07-19,641.7,13.85,169.135327281568,8.6,336,201
2016-07-20,556.5,16.41,169.604770227401,13.85,641.7,202
2016-07-21,250.6,4.96,170.862981488745,16.41,556.5,203
2016-07-22,766.2,14.75,169.492726939599,4.96,250.6,204
2016-07-23,334.5,7.75,168.144533867618,14.75,766.2,205
2016-07-24,413.5,11.51,170.743805358123,7.75,334.5,206
2016-07-25,791.5,15.87,168.48393003329,11.51,413.5,207
2016-07-26,362.4,8.91,168.739225976361,15.87,791.5,208
2016-07-27,684.9,14.35,167.083549775076,8.91,362.4,209
2016-07-28,330.1,9.2,170.940676741352,14.35,684.9,210
2016-07-29,265.3,5.74,170.368792716545,9.2,330.1,211
2016-07-30,322.2,5.7,170.588546046163,5.74,265.3,212
2016-07-31,353.2,8.17,170.979901999917,5.7,322.2,213
2016-08-01,513.4,11.71,170.102295692792,8.17,353.2,214
2016-08-02,295.3,5.94,169.048148995782,11.71,513.4,215
2016-08-03,355.7,7.23,170.72725848213,5.94,295.3,216
2016-08-04,839.8,17.73,171.476905757884,7.23,355.7,217
2016-08-05,472.9,11.85,168.683678480483,17.73,839.8,218
2016-08-06,618.9,16.3,169.58756884332,11.85,472.9,219
2016-08-07,694.8,17.62,169.913271916892,16.3,618.9,220
2016-08-08,405.6,10.13,168.927092787283,17.62,694.8,221
2016-08-09,791.3,14.81,170.922441371387,10.13,405.6,222
2016-08-10,808.9,14.55,169.641013255669,14.81,791.3,223
2016-08-11,230,4.29,171.50926168244,14.55,808.9,224
2016-08-12,708.7,12.18,170.318323175947,4.29,230,225
2016-08-13,494.7,12.38,171.00566804779,12.18,708.7,226
2016-08-14,653.1,12.19,171.851734210076,12.38,494.7,227
2016-08-15,844,16.25,170.569621751158,12.19,653.1,228
2016-08-16,283.8,6.42,171.394384356411,16.25,844,229
2016-08-17,756.8,15.69,170.542317372475,6.42,283.8,230
2016-08-18,457.8,11.61,168.834207502513,15.69,756.8,231
2016-08-19,870,15.87,170.382845119737,11.61,457.8,232
2016-08-20,356.2,8.06,171.093441141302,15.87,870,233
2016-08-21,782.4,20.4,170.879924272487,8.06,356.2,234
2016-08-22,835.3,16.36,170.232041472099,20.4,782.4,235
2016-08-23,776.6,15.38,169.20399313659,16.36,835.3,236
2016-08-24,380.2,8.84,171.084154045197,15.38,776.6,237
2016-08-25,815.5,15.26,169.537662943317,8.84,380.2,238
2016-08-26,645.3,15.97,169.218959068364,15.26,815.5,239
2016-08-27,673.3,18.51,171.082674012269,15.97,645.3,240
2016-08-28,443.7,10.43,169.272199655696,18.51,673.3,241
2016-08-29,477.8,11.67,170.766939006762,10.43,443.7,242
2016-08-30,744.7,15.51,170.543211292118,11.67,477.8,243
2016-08-31,383.8,10.09,169.230394179615,15.51,744.7,244
2016-09-01,714.7,13.67,171.756765280288,10.09,383.8,245
2016-09-02,545.5,15.72,170.00302911607,13.67,714.7,246
2016-09-03,527.6,12.58,171.814877922267,15.72,545.5,247
2016-09-04,434.6,11.49,170.159231660977,12.58,527.6,248
